tiempo_s,fase,cpu_promedio,cpu_por_nucleo,ram_libre_mb,gpu_utilizacion,gpu_memoria_mb
1.01,mimatmul,19.0,"[29, 9, 21, 29, 9, 21, 6, 29]",3311,0,203
1.96,mimatmul,10.3,"[24, 9, 0, 12, 0, 3, 15, 21]",3308,0,203
3.01,mimatmul,10.0,"[24, 3, 12, 9, 24, 0, 9, 0]",3311,0,203
3.97,mimatmul,7.4,"[3, 3, 12, 12, 6, 6, 12, 6]",3334,1,203
4.97,mimatmul,11.1,"[0, 3, 38, 9, 0, 15, 21, 3]",3325,1,203
5.97,mimatmul,8.8,"[0, 0, 35, 0, 12, 12, 3, 9]",3298,6,203
6.96,mimatmul,8.1,"[3, 3, 35, 0, 6, 0, 15, 3]",3300,8,203
7.9,mimatmul,12.5,"[3, 3, 42, 3, 0, 12, 21, 16]",3296,11,203
8.83,mimatmul,9.7,"[0, 3, 35, 15, 6, 3, 3, 12]",3299,17,203
8.63,numpy,96.9,"[97, 100, 97, 97, 97, 94, 97, 97]",3137,0,203
9.33,numpy,96.4,"[97, 100, 94, 94, 97, 97, 97, 94]",3067,0,203
10.12,numpy,95.8,"[94, 97, 97, 97, 94, 94, 94, 97]",2905,4,203
10.86,numpy,98.9,"[97, 100, 100, 100, 97, 100, 100, 97]",2853,0,203
11.61,numpy,98.8,"[100, 100, 100, 97, 94, 100, 100, 100]",2774,10,203
12.43,numpy,100.0,"[100, 100, 100, 100, 100, 100, 100, 100]",2717,2,203
13.14,numpy,91.5,"[89, 94, 88, 91, 91, 88, 94, 97]",2654,0,203
13.85,numpy,97.9,"[97, 100, 97, 97, 97, 97, 100, 97]",2585,0,203
14.67,numpy,94.5,"[91, 97, 94, 91, 91, 94, 100, 97]",2510,0,203
15.39,numpy,98.9,"[100, 100, 97, 100, 100, 97, 100, 97]",2443,0,203
16.12,numpy,97.8,"[97, 100, 97, 97, 97, 97, 97, 100]",2388,0,203
16.82,numpy,96.0,"[95, 97, 97, 94, 94, 97, 97, 97]",2321,0,203
17.47,numpy,96.2,"[94, 100, 94, 97, 94, 97, 97, 97]",2253,0,203
18.25,numpy,100.0,"[100, 100, 100, 100, 100, 100, 100, 100]",2183,0,203
